City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Puerto carreno,CO,25.71,overcast clouds,6.19,-67.49,Casa Hotel Victoria
350,Sambava,MG,20.43,broken clouds,-14.27,50.17,Melrose
354,Mindelo,CV,25.75,few clouds,16.89,-24.98,Hotel Gaudi
359,Morondava,MG,22.36,broken clouds,-20.28,44.28,La Case Bambou
366,Westport,NZ,20.55,overcast clouds,41.14,-73.36,The Westport Inn
367,Gushikawa,JP,28.77,few clouds,26.35,127.87,Kirari Guest House
368,Unguia,CO,25.51,overcast clouds,8.04,-77.09,Hotel Divino Niño
370,Hasaki,JP,22.38,overcast clouds,35.73,140.83,Hotel Sunrise Choshi
371,Olinda,BR,24.85,scattered clouds,-8.01,-34.86,Pousada Sitio Do Carmo
372,Acajutla,SV,30.19,overcast clouds,13.59,-89.83,Urbanización Brisas de Acajutla II
373,Lagoa,PT,21.25,overcast clouds,39.05,-27.98,Casa Das Faias
375,Marawi,SD,22.58,broken clouds,8.0,124.29,Derogongan Residence
378,Hwange,ZW,20.88,clear sky,-18.37,26.5,Hwange Colliery Guest House
379,Siva,RU,21.53,clear sky,29.2,25.52,Qasr Alzaytuna Inn
380,Half moon bay,US,25.23,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
381,Wanning,CN,25.85,overcast clouds,18.8,110.4,Paradise Hotel
383,Gasa,BT,21.62,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
384,Kerema,PG,28.98,few clouds,-7.96,145.78,Frena Lodge
385,Mantua,CU,21.82,scattered clouds,45.17,10.78,Hotel la Favorita
387,Port keats,AU,30.29,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
390,Lufilufi,WS,28.88,light rain,-13.87,-171.6,Leuaina Beach Resort and Spa
393,Urumita,CO,24.12,overcast clouds,10.56,-73.01,LAS DELICIAS
394,Vao,NC,20.17,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
396,Fereydun kenar,IR,23.46,overcast clouds,36.69,52.52,Khezer Shahr Tourist Hotel
398,Lethem,GY,27.53,broken clouds,3.38,-59.8,Savannah Inn
399,Panzhihua,CN,21.84,overcast clouds,26.59,101.71,Electric Power Hotel
402,Manggar,ID,28.82,overcast clouds,-2.88,108.27,Guest Hotel
404,Siloam springs,US,23.46,clear sky,36.19,-94.54,Cherokee Hotel & Casino West Siloam Springs
407,Rajgarh,IN,26.84,clear sky,28.63,75.38,Gangster Life Rajgarh Aala Ki
408,Tecoanapa,MX,27.68,overcast clouds,16.52,-98.75,Hotel Manglares
410,Koupela,BF,26.16,few clouds,12.18,-0.35,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
412,San ignacio,BO,24.08,clear sky,17.16,-89.07,Rainforest Haven Inn
414,Itoman,JP,29.21,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
416,Mogadishu,SO,25.38,overcast clouds,2.04,45.34,Hotel Juba
420,Alofi,NU,25.94,clear sky,-19.06,-169.92,Taloa Heights
421,Benghazi,LY,23.01,clear sky,32.12,20.07,Tibesti Hotel
422,Kahului,US,31.01,scattered clouds,20.89,-156.47,Maui Seaside Hotel
432,Ambagarh chauki,IN,23.92,overcast clouds,20.78,80.72,Hunesh kunjam home ....
433,San jose,GT,25.49,smoke,37.34,-121.89,The Westin San Jose
434,Champerico,GT,28.53,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
435,Santa luzia,BR,21.6,clear sky,-19.77,-43.85,Pousada Chao Earth
438,Nizwa,OM,27.66,overcast clouds,22.93,57.53,Orient Apartments
442,Pacific grove,US,25.08,few clouds,36.62,-121.92,Lovers Point Inn
443,Santa marinella,IT,22.17,broken clouds,42.03,11.85,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
444,Telde,ES,22.12,scattered clouds,27.99,-15.42,El Baladero Apartamentos
447,Ituiutaba,BR,28.72,few clouds,-18.97,-49.47,Bernal Hotel
449,Lichuan,CN,22.12,few clouds,30.3,108.85,Yicheng Hotel
