City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Pilar,BR,2021-09-21 05:08:52,-9.5972,-35.9567,69.73,91,42,1.41
199,Hualmay,PE,2021-09-21 05:08:53,-11.0964,-77.6139,60.46,84,73,8.46
200,Marzuq,YE,2021-09-21 05:08:53,14.4,46.4667,81.34,49,50,3.51
201,Hofn,IS,2021-09-21 05:08:54,64.2539,-15.2082,48.07,69,100,2.89
202,La Ferte-Bernard,FR,2021-09-21 05:08:54,48.1863,0.6536,56.82,92,1,7.65
203,Broken Hill,AU,2021-09-21 05:08:55,-31.95,141.4333,58.5,27,5,20.8
204,Maragogi,BR,2021-09-21 05:08:56,-9.0122,-35.2225,72.66,79,36,4.21
205,Xichang,CN,2021-09-21 05:08:56,27.8964,102.2634,76.86,58,5,2.8
206,Pevek,RU,2021-09-21 05:08:57,69.7008,170.3133,29.19,74,98,4.52
207,Edelira,PY,2021-09-21 05:08:57,-26.75,-55.2667,70.54,93,78,6.08
208,Port Elizabeth,ZA,2021-09-21 05:08:57,-33.918,25.5701,56.62,74,78,14.47
209,Esperance,AU,2021-09-21 05:08:58,-33.8667,121.9,66.76,39,0,4.83
210,Jacareacanga,BR,2021-09-21 05:08:58,-6.2222,-57.7528,77.61,64,49,1.9
211,Cherskiy,RU,2021-09-21 05:08:59,68.75,161.3,35.51,49,48,7.38
212,Ribeira Grande,PT,2021-09-21 05:09:00,38.5167,-28.7,70.81,76,4,11.99
213,Kashi,CN,2021-09-21 05:09:00,39.4547,75.9797,83.25,10,0,4.5
214,Nanortalik,GL,2021-09-21 05:09:01,60.1432,-45.2371,36.86,70,1,17.49
215,Gazli,UZ,2021-09-21 05:09:01,40.1333,63.45,72.9,11,0,12.82
216,Palauig,PH,2021-09-21 05:09:02,15.435,119.9045,85.15,71,85,7.31
217,Half Moon Bay,US,2021-09-21 05:09:02,37.4636,-122.4286,73.31,35,1,0.0
218,Monte Gordo,PT,2021-09-21 05:09:03,37.1819,-7.4523,73.35,49,0,10.27
219,Katsuura,JP,2021-09-21 05:09:03,35.1333,140.3,78.91,64,49,10.56
220,Saskylakh,RU,2021-09-21 05:09:04,71.9167,114.0833,36.7,81,90,7.18
221,Chapais,CA,2021-09-21 05:09:04,49.7834,-74.8492,56.97,60,93,9.75
222,Alekseyevskaya,RU,2021-09-21 05:09:05,50.2896,42.1845,55.85,83,89,5.55
223,Cervo,ES,2021-09-21 05:04:54,43.6702,-7.4101,62.31,75,35,10.58
224,Andenes,NO,2021-09-21 05:09:05,69.3143,16.1194,46.38,57,0,19.57
225,Puerto Lempira,HN,2021-09-21 05:09:06,15.2667,-83.7667,78.84,85,89,4.83
226,Dalvik,IS,2021-09-21 05:09:06,65.9702,-18.5286,39.76,89,100,6.04
227,Mbandaka,CD,2021-09-21 05:09:07,0.0487,18.2603,70.54,83,4,1.86
228,Chacabuco,AR,2021-09-21 05:09:07,-34.6417,-60.4739,44.58,83,0,7.56
229,Dharchula,IN,2021-09-21 05:09:08,29.85,80.5333,74.16,87,98,2.26
230,Fossombrone,IT,2021-09-21 05:09:08,43.6908,12.8127,61.18,93,87,2.1
231,Balkanabat,TM,2021-09-21 05:09:09,39.5108,54.3671,80.56,18,3,14.72
232,Manono,CD,2021-09-21 05:09:10,-7.3,27.4167,77.43,46,50,3.04
233,Sitka,US,2021-09-21 05:09:10,57.0531,-135.33,55.29,82,90,13.8
234,Saint-Francois,FR,2021-09-21 05:09:11,46.4154,3.9054,54.84,100,90,4.61
235,Abancay,PE,2021-09-21 05:09:12,-13.6339,-72.8814,58.03,85,49,3.87
236,Katherine,AU,2021-09-21 05:09:12,-14.4667,132.2667,97.12,13,88,21.85
237,Fare,PF,2021-09-21 05:09:13,-16.7,-151.0167,79.0,67,2,11.92
238,Paamiut,GL,2021-09-21 05:09:13,61.994,-49.6678,33.93,65,35,17.9
239,Gambela,ET,2021-09-21 05:09:14,8.25,34.5833,72.18,95,66,1.52
240,Hauge,NO,2021-09-21 05:09:14,58.3436,6.2812,55.04,90,100,13.47
241,Along,IN,2021-09-21 05:09:15,28.1667,94.7667,91.35,52,10,1.7
